user_id,signup_date,country,age,gender,platform,acquisition_channel
U000001,2023-01-01,JP,21,F,iOS,paid_social
U000002,2023-01-01,HK,28,M,Android,email_campaign
U000003,2023-01-01,SG,50,M,Web,paid_search
U000004,2023-01-01,MY,37,M,Android,email_campaign
U000005,2023-01-01,TW,30,F,Android,organic
U000006,2023-01-01,HK,16,M,iOS,referral
U000007,2023-01-01,TW,35,M,Android,email_campaign
U000008,2023-01-01,ID,31,F,Android,paid_social
U000009,2023-01-01,MY,47,F,iOS,organic
U000010,2023-01-01,ID,46,M,iOS,paid_search
U000011,2023-01-01,TW,32,M,Web,email_campaign
U000012,2023-01-01,SG,32,M,Android,paid_social
U000013,2023-01-01,HK,20,F,iOS,organic
U000014,2023-01-01,HK,44,M,iOS,email_campaign
U000015,2023-01-01,SG,42,M,iOS,organic
U000016,2023-01-01,JP,28,M,iOS,paid_search
U000017,2023-01-01,JP,29,F,Android,organic
U000018,2023-01-01,ID,53,M,iOS,paid_search
U000019,2023-01-01,TW,40,M,iOS,organic
U000020,2023-01-01,PH,25,M,Android,paid_social
U000021,2023-01-01,TW,42,M,Android,organic
U000022,2023-01-01,JP,27,M,iOS,paid_social
U000023,2023-01-01,JP,39,F,iOS,organic
U000024,2023-01-01,HK,22,F,iOS,paid_search
U000025,2023-01-01,TH,34,F,Android,paid_search
U000026,2023-01-01,SG,36,M,Web,referral
U000027,2023-01-01,JP,39,M,Android,paid_search
U000028,2023-01-01,MY,21,Other,iOS,organic
U000029,2023-01-01,HK,36,F,Android,email_campaign
U000030,2023-01-01,HK,37,M,Android,referral
U000031,2023-01-01,TH,30,F,iOS,referral
U000032,2023-01-01,TW,33,M,iOS,paid_social
U000033,2023-01-01,JP,23,M,iOS,organic
U000034,2023-01-01,TW,16,F,Android,organic
U000035,2023-01-01,HK,42,F,Android,paid_search
U000036,2023-01-01,HK,29,M,iOS,organic
U000037,2023-01-01,SG,46,F,Android,paid_search
U000038,2023-01-01,TW,38,M,iOS,email_campaign
U000039,2023-01-01,ID,34,M,Web,paid_search
U000040,2023-01-01,TW,32,F,iOS,organic
U000041,2023-01-01,HK,34,M,Android,organic
U000042,2023-01-01,TW,46,M,iOS,paid_search
U000043,2023-01-01,JP,34,F,iOS,organic
U000044,2023-01-01,TW,16,F,Android,paid_social
U000045,2023-01-01,SG,34,F,Android,referral
U000046,2023-01-01,ID,28,M,iOS,referral
U000047,2023-01-01,HK,20,F,iOS,paid_search
U000048,2023-01-01,HK,26,F,iOS,referral
U000049,2023-01-02,HK,21,F,Android,paid_search
U000050,2023-01-02,TW,36,M,Android,organic
U000051,2023-01-02,SG,27,F,Android,paid_search
U000052,2023-01-02,TW,19,F,iOS,email_campaign
U000053,2023-01-02,JP,28,M,iOS,paid_social
U000054,2023-01-02,ID,49,M,iOS,organic
U000055,2023-01-02,HK,33,M,Android,organic
U000056,2023-01-02,SG,25,F,Android,organic
U000057,2023-01-02,HK,32,Other,Android,paid_social
U000058,2023-01-02,JP,17,M,iOS,paid_social
U000059,2023-01-02,PH,28,M,Android,paid_social
U000060,2023-01-02,HK,23,F,iOS,organic
U000061,2023-01-02,TH,22,Other,Web,paid_search
U000062,2023-01-02,ID,23,F,Android,paid_social
U000063,2023-01-02,JP,34,F,Android,organic
U000064,2023-01-02,HK,31,M,iOS,organic
U000065,2023-01-02,PH,16,M,Android,organic
U000066,2023-01-02,SG,38,F,Android,paid_search
U000067,2023-01-02,ID,33,M,Web,email_campaign
U000068,2023-01-02,TH,32,F,iOS,referral
U000069,2023-01-02,HK,38,M,Web,organic
U000070,2023-01-02,TH,24,M,Android,paid_search
U000071,2023-01-02,SG,46,M,Android,referral
U000072,2023-01-02,TW,38,M,iOS,organic
U000073,2023-01-02,TW,33,F,Android,organic
U000074,2023-01-02,SG,38,M,iOS,organic
U000075,2023-01-02,TW,48,M,iOS,paid_search
U000076,2023-01-02,HK,45,M,Web,referral
U000077,2023-01-02,JP,26,F,iOS,organic
U000078,2023-01-02,Other,23,F,Android,paid_social
U000079,2023-01-02,MY,16,M,Web,organic
U000080,2023-01-02,TW,30,M,iOS,paid_social
U000081,2023-01-02,JP,27,M,iOS,referral
U000082,2023-01-02,TW,16,F,iOS,referral
U000083,2023-01-02,TW,32,M,Android,organic
U000084,2023-01-02,ID,28,M,Android,paid_social
U000085,2023-01-02,HK,31,M,iOS,organic
U000086,2023-01-02,TH,35,F,Web,paid_social
U000087,2023-01-02,HK,26,M,Android,referral
U000088,2023-01-02,ID,51,M,Android,organic
U000089,2023-01-02,ID,46,M,Android,paid_search
U000090,2023-01-02,JP,48,F,Android,organic
U000091,2023-01-02,TW,29,M,iOS,organic
U000092,2023-01-02,JP,34,M,iOS,email_campaign
U000093,2023-01-02,TH,22,M,iOS,organic
U000094,2023-01-02,TH,38,M,iOS,paid_search
U000095,2023-01-02,Other,42,F,iOS,organic
U000096,2023-01-02,TW,25,F,Android,organic
U000097,2023-01-02,SG,26,Other,Android,paid_search
U000098,2023-01-02,JP,42,F,Android,paid_search
U000099,2023-01-02,HK,22,M,Android,organic
U000100,2023-01-02,TW,16,M,iOS,email_campaign
U000101,2023-01-02,MY,41,F,Android,referral
U000102,2023-01-02,TW,27,F,Android,referral
U000103,2023-01-02,JP,39,M,Android,referral
U000104,2023-01-02,PH,44,M,iOS,email_campaign
U000105,2023-01-02,JP,27,F,Android,organic
U000106,2023-01-02,SG,38,F,Android,referral
U000107,2023-01-02,SG,40,F,Android,organic
U000108,2023-01-02,HK,36,M,iOS,organic
U000109,2023-01-02,Other,30,F,iOS,paid_search
U000110,2023-01-02,JP,19,F,iOS,paid_social
U000111,2023-01-02,TH,31,F,iOS,organic
U000112,2023-01-02,TW,33,F,iOS,referral
U000113,2023-01-02,TW,40,Other,iOS,organic
U000114,2023-01-02,JP,22,F,Android,paid_social
U000115,2023-01-03,HK,17,F,iOS,organic
U000116,2023-01-03,SG,45,F,iOS,paid_search
U000117,2023-01-03,SG,37,F,Android,paid_social
U000118,2023-01-03,TH,45,F,iOS,organic
U000119,2023-01-03,HK,39,F,Android,organic
U000120,2023-01-03,TW,30,M,Android,paid_social
U000121,2023-01-03,TW,48,Other,Web,organic
U000122,2023-01-03,HK,39,F,Android,paid_search
U000123,2023-01-03,HK,29,F,Android,organic
U000124,2023-01-03,HK,43,M,iOS,organic
U000125,2023-01-03,TH,34,M,Web,organic
U000126,2023-01-03,HK,16,F,Android,organic
U000127,2023-01-03,TH,21,M,iOS,organic
U000128,2023-01-03,SG,16,M,Android,paid_search
U000129,2023-01-03,TW,23,F,Android,referral
U000130,2023-01-03,TW,36,M,iOS,email_campaign
U000131,2023-01-03,TW,30,M,Android,organic
U000132,2023-01-03,TH,27,M,Android,paid_social
U000133,2023-01-03,TW,16,M,Web,organic
U000134,2023-01-03,JP,41,F,Android,organic
U000135,2023-01-03,TW,17,F,Web,email_campaign
U000136,2023-01-03,MY,27,M,Android,organic
U000137,2023-01-03,Other,16,M,iOS,paid_social
U000138,2023-01-03,TW,44,F,Android,organic
U000139,2023-01-03,TW,27,M,Android,paid_social
U000140,2023-01-03,TW,29,M,Android,paid_social
U000141,2023-01-03,PH,37,M,iOS,organic
U000142,2023-01-03,SG,42,M,Android,paid_search
U000143,2023-01-03,HK,26,M,iOS,referral
U000144,2023-01-03,SG,25,M,Web,referral
U000145,2023-01-03,ID,30,Other,Android,referral
U000146,2023-01-03,TW,17,M,Web,organic
U000147,2023-01-03,SG,26,F,iOS,paid_social
U000148,2023-01-03,Other,25,M,Android,referral
U000149,2023-01-03,TH,51,F,iOS,organic
U000150,2023-01-03,SG,43,M,Android,referral
U000151,2023-01-03,HK,29,M,Web,referral
U000152,2023-01-03,TW,28,M,Android,paid_search
U000153,2023-01-03,ID,33,F,iOS,organic
U000154,2023-01-03,JP,47,F,iOS,email_campaign
U000155,2023-01-03,HK,44,F,Web,referral
U000156,2023-01-03,JP,58,M,Android,organic
U000157,2023-01-03,SG,22,M,Android,referral
U000158,2023-01-03,HK,31,F,Android,paid_social
U000159,2023-01-03,TW,41,M,iOS,organic
U000160,2023-01-03,HK,38,M,Android,organic
U000161,2023-01-03,MY,42,M,Web,paid_search
U000162,2023-01-03,TW,28,F,iOS,paid_search
U000163,2023-01-03,TW,35,M,Android,paid_search
U000164,2023-01-03,MY,30,F,Android,organic
U000165,2023-01-03,TW,38,F,Android,organic
U000166,2023-01-04,JP,34,M,Web,referral
U000167,2023-01-04,SG,31,M,Android,paid_search
U000168,2023-01-04,HK,19,Other,iOS,paid_social
U000169,2023-01-04,TW,26,M,Android,paid_social
U000170,2023-01-04,PH,34,F,Android,organic
U000171,2023-01-04,Other,23,F,iOS,organic
U000172,2023-01-04,TW,43,F,Android,referral
U000173,2023-01-04,TW,32,M,Android,organic
U000174,2023-01-04,TW,29,F,iOS,organic
U000175,2023-01-04,ID,42,F,iOS,referral
U000176,2023-01-04,TW,50,F,iOS,organic
U000177,2023-01-04,Other,33,M,Android,paid_search
U000178,2023-01-04,TW,44,M,Web,paid_search
U000179,2023-01-04,TH,34,F,Android,paid_search
U000180,2023-01-04,HK,43,F,Android,organic
U000181,2023-01-04,HK,49,F,Android,referral
U000182,2023-01-04,SG,46,M,iOS,organic
U000183,2023-01-04,MY,25,F,Android,paid_social
U000184,2023-01-04,TW,38,M,iOS,paid_search
U000185,2023-01-04,TW,22,Other,iOS,paid_social
U000186,2023-01-04,TW,20,F,iOS,paid_social
U000187,2023-01-04,SG,29,F,Android,organic
U000188,2023-01-04,TW,20,F,iOS,paid_social
U000189,2023-01-04,MY,29,F,Web,organic
U000190,2023-01-04,JP,20,Other,iOS,paid_social
U000191,2023-01-04,HK,16,F,Android,organic
U000192,2023-01-04,HK,17,F,Web,paid_search
U000193,2023-01-04,TW,28,M,iOS,referral
U000194,2023-01-04,JP,34,M,iOS,paid_search
U000195,2023-01-04,HK,23,F,iOS,paid_social
U000196,2023-01-04,HK,23,F,Android,organic
U000197,2023-01-04,HK,32,F,Web,paid_search
U000198,2023-01-04,ID,33,F,iOS,paid_search
U000199,2023-01-04,TW,21,M,Android,referral
U000200,2023-01-04,SG,34,F,iOS,organic
U000201,2023-01-04,SG,45,F,Android,organic
U000202,2023-01-04,HK,24,F,iOS,paid_search
U000203,2023-01-04,TH,46,F,Android,organic
U000204,2023-01-04,HK,30,M,Android,referral
U000205,2023-01-04,MY,43,M,iOS,organic
U000206,2023-01-04,TW,31,F,iOS,paid_social
U000207,2023-01-04,TW,46,M,iOS,organic
U000208,2023-01-04,HK,33,F,Android,paid_social
U000209,2023-01-04,TW,32,F,iOS,organic
U000210,2023-01-04,TW,26,F,Web,paid_social
U000211,2023-01-04,TW,32,M,iOS,organic
U000212,2023-01-04,HK,29,M,Web,referral
U000213,2023-01-04,PH,39,F,Android,organic
U000214,2023-01-04,TW,29,F,iOS,email_campaign
U000215,2023-01-04,HK,21,F,Android,organic
U000216,2023-01-04,TH,34,M,iOS,referral
U000217,2023-01-04,TW,31,M,Web,organic
U000218,2023-01-04,HK,22,F,iOS,paid_social
U000219,2023-01-04,MY,16,Other,Web,paid_social
U000220,2023-01-04,SG,30,F,iOS,paid_search
U000221,2023-01-04,TW,59,M,Web,organic
U000222,2023-01-04,JP,17,F,Android,referral
U000223,2023-01-04,TH,35,M,Web,organic
U000224,2023-01-04,TW,29,M,Web,email_campaign
U000225,2023-01-04,ID,16,M,iOS,paid_social
U000226,2023-01-04,HK,45,F,Android,referral
U000227,2023-01-04,ID,24,F,Android,paid_social
U000228,2023-01-05,PH,26,M,iOS,paid_social
U000229,2023-01-05,HK,38,F,Web,referral
U000230,2023-01-05,HK,16,F,Android,organic
U000231,2023-01-05,TW,23,F,iOS,paid_search
U000232,2023-01-05,PH,19,M,Web,organic
U000233,2023-01-05,TH,40,F,iOS,paid_search
U000234,2023-01-05,TH,38,F,Android,referral
U000235,2023-01-05,MY,32,M,iOS,referral
U000236,2023-01-05,TW,19,M,iOS,paid_social
U000237,2023-01-05,PH,16,M,Android,referral
U000238,2023-01-05,JP,35,M,iOS,referral
U000239,2023-01-05,TW,20,F,Web,paid_social
U000240,2023-01-05,ID,19,M,Android,paid_social
U000241,2023-01-05,MY,33,M,Android,organic
U000242,2023-01-05,ID,35,F,Android,organic
U000243,2023-01-05,MY,35,M,Android,paid_search
U000244,2023-01-05,TH,28,F,Android,referral
U000245,2023-01-05,TH,32,M,iOS,organic
